"moment","data_value","data_sd"
"cov_move_h",-0.0046402543449304695,1.0
"cov_move_kids",-0.0015598224861903085,1.0
"cov_own_kids",0.02650834137120094,1.0
"lm_h_Intercept",-0.1972933671737716,0.001513644875555458
"lm_h_age",0.0510814121252958,0.00021806192496730758
"lm_h_age2",-0.0003293037457562681,6.6115808685656545e-6
"lm_mv_Intercept",0.07552303811746956,0.000599034258613231
"lm_mv_age",-0.0064275263672065154,8.629934647427089e-5
"lm_mv_age2",0.00013857864253305602,2.616573747134216e-6
"mean_move",0.013264807998327528,0.11440652458255315
"mean_move_50",0.004636150234741784,9.346882515544718e-5
"mean_move_kidsFALSE",0.017460135686083227,0.00028827167524396685
"mean_move_kidsTRUE",0.010781805323773718,0.00018205339027403076
"mean_move_ownFALSE",0.025114206641724753,0.00030735542758379475
"mean_move_ownTRUE",0.005637796904716006,0.00014434362443812427
"mean_own_ENC",0.6929703231942109,0.0016816909694649823
"mean_own_ESC",0.6287104966886615,0.002899878372044008
"mean_own_MdA",0.6416324420703308,0.0018904283547752688
"mean_own_Mnt",0.532955041318517,0.0024072310132689685
"mean_own_NwE",0.6010387739260442,0.0021704895474319776
"mean_own_Pcf",0.4376333528479808,0.001690432545743048
"mean_own_StA",0.620204118407047,0.0016518443570047762
"mean_own_WNC",0.725226735870224,0.0020889938616695646
"mean_own_WSC",0.6778231412778508,0.00211249442240802
"mean_own_kidsFALSE",0.5371001520693343,0.00109742343852778
"mean_own_kidsTRUE",0.65059477251595,0.0008404791881210377
"mean_sell_50",0.008744131455399061,0.00012809976303327996
"mean_wealth_(25,30]",36.822343240175265,0.12278535713872564
"mean_wealth_(30,35]",84.9620314473408,0.22820769686349768
"mean_wealth_(35,40]",154.0615548384236,0.34739105498530665
"mean_wealth_(40,45]",218.6792663054102,0.4281648545980878
"mean_wealth_(45,50]",244.88669292535363,0.4101687140818683
"mean_wealth_ENC",107.47923460748191,0.2627645782957156
"mean_wealth_ESC",87.76815744060013,0.3614512732157237
"mean_wealth_MdA",140.6863839207701,0.411689785647274
"mean_wealth_Mnt",120.96736833617135,0.4526529443340417
"mean_wealth_NwE",198.100272498534,0.6247369651656592
"mean_wealth_Pcf",246.47557806256495,0.642423130148918
"mean_wealth_StA",118.9969592712919,0.29117183102609473
"mean_wealth_WNC",113.85200555354913,0.37832633685754674
"mean_wealth_WSC",88.01370763683374,0.2821197552913917
"mean_wealth_[20,25]",15.27100424524673,0.06656532702236106
"mean_wealth_ownFALSE",64.52538825097506,0.16314804120333645
"mean_wealth_ownTRUE",196.13839746723173,0.2353418112514976
"move_neg_equity",0.0,1.0
"moved0",0.870481220657277,1.0
"moved1",0.08071205007824726,1.0
"moved2plus",0.04880672926447574,1.0
"q25_move_distance",1153.0,1.0
"q50_move_distance",1970.0,1.0
"q75_move_distance",3216.0,1.0
